 130.68965517   0.70000000 -221.58703282 
 130.68965517   0.74482759 -222.61781005 
 130.68965517   0.78965517 -223.38015181 
 130.68965517   0.83448276 -223.94149605 
 130.68965517   0.87931034 -224.35197896 
 130.68965517   0.92413793 -224.64930822 
 130.68965517   0.96896552 -224.86200165 
 130.68965517   1.01379310 -225.01161416 
 130.68965517   1.05862069 -225.11446727 
 130.68965517   1.10344828 -225.18282732 
 130.68965517   1.14827586 -225.22594837 
 130.68965517   1.19310345 -225.25071576 
 130.68965517   1.23793103 -225.26221018 
 130.68965517   1.28275862 -225.26416839 
 130.68965517   1.32758621 -225.25927393 
 130.68965517   1.37241379 -225.24945030 
 130.68965517   1.41724138 -225.23609773 
 130.68965517   1.46206897 -225.22024132 
 130.68965517   1.50689655 -225.20264160 
 130.68965517   1.55172414 -225.18388738 
 130.68965517   1.59655172 -225.16445351 
 130.68965517   1.64137931 -225.14472068 
 130.68965517   1.68620690 -225.12498146 
 130.68965517   1.73103448 -225.10546025 
 130.68965517   1.77586207 -225.08633623 
 130.68965517   1.82068966 -225.06774793 
 130.68965517   1.86551724 -225.04978854 
 130.68965517   1.91034483 -225.03251140 
 130.68965517   1.95517241 -225.01594789 
 130.68965517   2.00000000 -225.00012421 
 127.58620690   0.70000000 -221.56755653 
 127.58620690   0.74482759 -222.60529374 
 127.58620690   0.78965517 -223.37279490 
 127.58620690   0.83448276 -223.93797709 
 127.58620690   0.87931034 -224.35126520 
 127.58620690   0.92413793 -224.65059612 
 127.58620690   0.96896552 -224.86467446 
 127.58620690   1.01379310 -225.01520862 
 127.58620690   1.05862069 -225.11863923 
 127.58620690   1.10344828 -225.18731884 
 127.58620690   1.14827586 -225.23056208 
 127.58620690   1.19310345 -225.25531307 
 127.58620690   1.23793103 -225.26668370 
 127.58620690   1.28275862 -225.26844694 
 127.58620690   1.32758621 -225.26331828 
 127.58620690   1.37241379 -225.25323208 
 127.58620690   1.41724138 -225.23960445 
 127.58620690   1.46206897 -225.22347682 
 127.58620690   1.50689655 -225.20561277 
 127.58620690   1.55172414 -225.18660169 
 127.58620690   1.59655172 -225.16692349 
 127.58620690   1.64137931 -225.14696252 
 127.58620690   1.68620690 -225.12701143 
 127.58620690   1.73103448 -225.10729175 
 127.58620690   1.77586207 -225.08798188 
 127.58620690   1.82068966 -225.06922068 
 127.58620690   1.86551724 -225.05110460 
 127.58620690   1.91034483 -225.03368863 
 127.58620690   1.95517241 -225.01700066 
 127.58620690   2.00000000 -225.00106281 
 124.48275862   0.70000000 -221.54154153 
 124.48275862   0.74482759 -222.58698156 
 124.48275862   0.78965517 -223.36032801 
 124.48275862   0.83448276 -223.92997833 
 124.48275862   0.87931034 -224.34665015 
